NewsText,Category
"The stock market reached an all-time high today. Tech stocks rallied.",Business
"The local basketball team won the championship last night.",Sports
"New breakthrough in AI technology announced by researchers.",Technology
"A new species of bird was discovered in the Amazon rainforest.",Science
"The president signed a new bill into law this morning.",Politics
"Company X reports record earnings for the third quarter.",Business
"Star player injured during the final quarter of the match.",Sports
"Latest smartphone released with better camera and battery.",Technology
"Scientists find evidence of water on a distant exoplanet.",Science
"Election debates scheduled for next week. Candidates ready.",Politics
